driver,scope,datasets,estimate,pi_lo,pi_hi,t975
age_years,pooled,16,-0.09598748975207658,-0.14051314026072825,-0.05146183924342489,2.145
age_years,bd_aiub,1,-0.07128495596121304,,,
age_years,de_2023,1,-0.09499759793325462,,,
age_years,dvm,1,-0.1426900146789493,,,
age_years,eg_hatla2ee,1,-0.04979870288059937,,,
age_years,es_2020_11,1,-0.09912577325770477,,,
age_years,eu_2025_11,1,-0.08211082331525756,,,
age_years,eu_commercial_2023,1,-0.08680884322989331,,,
age_years,lv_ss,1,-0.11923384174431047,,,
age_years,ma_mucars_2024,1,-0.06741660984403777,,,
age_years,pl_2021,1,-0.10403617193811565,,,
age_years,pl_2022_05,1,-0.1229463089102847,,,
age_years,pl_2023_04,1,-0.10868326983863646,,,
age_years,pl_2023_08,1,-0.10704529625309,,,
age_years,pt_standvirtual,1,-0.07048155256284999,,,
age_years,se_2022,1,-0.09876012428228613,,,
age_years,uk_2022_10,1,-0.11025267682929585,,,
log_mileage,pooled,16,-0.11623992794290713,-0.20935727280075445,-0.023122583085059822,2.145
log_power,pooled,9,0.49893890692055504,0.410469482975534,0.5874083308655761,2.365
fuel_diesel,pooled,14,0.017887249677825345,-0.0870373985499543,0.122811897905605,2.179
fuel_electric,pooled,4,-0.004392472062858427,-0.4782823771418264,0.4694974330161096,4.303
fuel_hybrid,pooled,8,-0.0016753261906890529,-0.11452814907520469,0.11117749669382658,2.447
transmission_automatic,pooled,13,0.09899532735074933,0.044513498954125166,0.15347715574737347,2.201
body_suv,pooled,9,-0.016991770757815702,-0.08449666074379845,0.05051311922816705,2.365
body_estate,pooled,9,-0.04509770436175688,-0.1384767597555726,0.048281351032058856,2.365
body_sedan,pooled,9,-0.03494817220195901,-0.07069195013649177,0.0007956057325737356,2.365
