month,our_index,eurostat_index,depreciation_pct_per_year,adverts
2019-01,100.0,100.0,-12.92,11828
2019-02,100.1,101.08,-12.98,13278
2019-03,98.62,100.05,-13.05,14301
2019-04,97.66,99.33,-13.1,14761
2019-05,95.98,99.12,-13.19,14869
2019-06,94.75,98.25,-12.77,14499
2019-07,94.08,98.52,-12.88,14238
2019-08,93.09,98.35,-12.95,14163
2019-09,92.88,99.05,-12.75,14319
2019-10,91.94,98.37,-12.87,14145
2019-11,91.01,98.27,-12.71,13568
2019-12,90.53,99.05,-12.71,13191
2020-01,102.23,99.28,-12.53,11469
2020-02,101.08,98.82,-12.57,12393
2020-03,100.72,98.85,-12.66,12760
2020-04,99.83,97.59,-12.66,15183
2020-05,99.47,96.44,-12.32,14753
2020-06,99.08,96.69,-12.34,14882
2020-07,99.12,97.24,-12.25,13430
2020-08,99.23,98.01,-12.62,14057
2020-09,99.59,98.57,-12.4,14148
2020-10,100.23,98.78,-12.12,14333
2020-11,100.17,99.39,-12.22,14071
2020-12,100.44,100.79,-12.08,14074
2021-01,114.25,99.8,-12.14,13599
2021-02,114.96,100.02,-11.77,12483
2021-03,114.78,99.81,-11.75,12949
2021-04,114.58,99.42,-11.87,12703
2022-01,135.79,108.54,-12.01,11037
2022-02,136.87,109.07,-12.31,11616
2022-03,135.49,109.41,-12.52,11832
2022-04,135.93,109.65,-12.04,12994
2022-05,136.39,110.85,-12.33,12561
2022-06,137.14,110.87,-12.26,12137
2022-07,137.44,111.79,-12.52,11338
2022-08,137.93,112.14,-12.11,12196
2022-09,137.59,112.35,-12.02,12976
2022-10,137.11,112.56,-12.39,13250
2022-11,136.67,112.81,-12.33,13634
2022-12,136.5,112.21,-12.24,12983
2023-01,155.1,111.8,-12.35,11868
2023-02,154.24,112.47,-12.23,13192
2023-03,153.85,113.22,-12.15,13250
2023-04,153.1,113.24,-12.26,13613
2023-05,150.65,112.47,-12.27,14678
2023-06,149.1,112.45,-12.13,14943
2023-07,148.35,111.36,-12.02,14634
2023-08,147.29,111.92,-12.21,15023
2023-09,146.27,111.03,-11.94,15358
2023-10,145.15,111.0,-11.66,16355
2023-11,143.13,109.32,-11.78,16057
2023-12,142.44,108.76,-11.71,15218
