market,worst 12m,median 12m,best 12m,worst 36m,median 36m,best 36m,worst drawdown
AT,-7.3%,+0.5%,+27.1%,-5.2%,+15.0%,+37.5%,-8.2%
BG,-14.8%,-2.4%,+2.9%,-26.4%,-8.9%,+0.9%,-37.3%
CY,-6.2%,-1.4%,+14.5%,-8.2%,+8.0%,+24.2%,-9.7%
CZ,-9.4%,+1.3%,+21.2%,-11.8%,+11.5%,+42.5%,-12.7%
DE,-2.5%,+1.2%,+25.3%,+0.7%,+19.1%,+43.6%,-5.1%
DK,-7.1%,-1.3%,+5.1%,-8.1%,-3.2%,+1.8%,-10.2%
EE,-12.8%,+1.6%,+25.6%,-21.1%,+18.9%,+41.0%,-23.0%
EL,-5.2%,+0.0%,+19.4%,-3.9%,+7.9%,+26.3%,-8.2%
ES,-7.4%,+1.8%,+16.5%,-11.8%,+6.4%,+29.8%,-12.1%
FI,-3.6%,-1.1%,+10.8%,-6.5%,+1.8%,+12.4%,-6.9%
FR,-2.4%,+0.1%,+6.0%,-1.6%,+1.7%,+5.6%,-2.5%
HR,-7.7%,-4.9%,+12.1%,-17.9%,-2.2%,+17.1%,-21.6%
HU,-10.5%,-5.2%,+18.1%,-20.8%,-6.5%,+13.3%,-23.3%
IE,-3.9%,+2.4%,+18.3%,-2.0%,+17.5%,+33.9%,-5.8%
IT,-3.7%,-0.7%,+13.4%,-8.5%,+6.9%,+23.1%,-9.1%
LT,-8.7%,-0.5%,+30.3%,-3.7%,+15.3%,+45.5%,-9.4%
LU,-3.5%,-1.3%,+9.8%,-5.8%,+1.8%,+11.4%,-7.7%
LV,-7.2%,-1.3%,+10.3%,-11.3%,+2.4%,+16.6%,-12.1%
MT,-3.0%,+0.9%,+9.8%,-0.9%,+3.9%,+12.1%,-7.6%
NL,-2.2%,+0.6%,+12.1%,-4.2%,+9.9%,+23.5%,-4.7%
PL,-9.2%,-4.6%,+8.8%,-19.2%,-5.0%,+9.4%,-30.4%
PT,-6.6%,-0.9%,+14.6%,-7.6%,+3.8%,+18.5%,-9.7%
RO,+1.2%,+2.8%,+6.2%,+6.1%,+9.0%,+15.1%,-0.7%
SE,-7.8%,+3.0%,+9.7%,-4.9%,+11.0%,+19.8%,-8.1%
SI,-12.9%,-8.6%,+12.0%,-27.0%,-16.8%,+0.3%,-46.2%
SK,-10.7%,+1.5%,+13.7%,-2.4%,+4.2%,+19.1%,-11.2%
