age_years,reg_year,parc,movers,rate,parc_st,movers_st,rate_st,new_price_eur
1,2025,397744,71802,0.18052315056921034,40054,12471,0.31135467119388827,43418.0
2,2024,384712,54208,0.14090540456237394,36913,7431,0.20131119117925933,43640.0
3,2023,366257,56595,0.15452264393581555,46841,7932,0.16933882709592024,42200.0
4,2022,304160,62462,0.205359021567596,49643,9806,0.19753036681908828,37601.0
5,2021,300112,83399,0.2778929199765421,46979,13597,0.2894271908725175,35349.0
6,2020,305234,80486,0.2636862210631843,54446,15024,0.27594313631855416,32853.0
7,2019,375015,61996,0.1653160540245057,71759,11560,0.1610947755682214,30899.0
8,2018,372869,58149,0.15595021307751517,81501,13212,0.16210844038723451,26155.0
9,2017,340434,51519,0.15133329808421014,80773,13026,0.16126675993215556,24779.0
10,2016,306233,46837,0.15294563290043856,75667,12426,0.1642195408830798,23090.0
11,2015,314340,48524,0.15436788191130624,70645,11788,0.16686248142119045,22791.0
12,2014,277454,43547,0.15695214341836844,69825,12394,0.17750089509488007,20885.0
13,2013,287423,45911,0.1597332155046743,65468,11544,0.17633042096902304,19935.0
14,2012,326617,54061,0.1655180226381358,81201,14774,0.18194357212349602,17676.0
15,2011,357649,62227,0.17398902275694886,96782,18053,0.1865326197020107,17299.0
16,2010,317625,58394,0.1838457300275482,91883,17999,0.19589042586767955,16751.0
17,2009,229459,44221,0.1927185248780828,62343,13202,0.2117639510450251,17383.0
18,2008,252895,51658,0.20426659285474208,70007,15984,0.2283200251403431,18420.0
19,2007,224166,46252,0.2063292381538681,63222,14513,0.2295561671570023,20479.0
20,2006,194616,41317,0.2123001192091092,51890,12079,0.2327808826363461,19050.0
21,2005,151216,32364,0.21402497090255,38694,8725,0.22548715563136404,21498.0
22,2004,131601,28010,0.21284032796103372,38352,8579,0.22369107217355028,21840.0
23,2003,102741,20793,0.20238269045463836,29770,6158,0.20685253611017804,45650.0
24,2002,80150,16113,0.20103555832813474,20761,4131,0.19897885458311257,34356.5
25,2001,59208,11187,0.1889440616132955,14914,2794,0.18734075365428457,38322.0
