month,rows,median_age,share_old,median_km,share_high_km,our_index,eurostat_index,depreciation_pct_per_year,adverts,t,moy
2019-01,17179,13.0,0.35653996158100004,227430.0,0.3856749311294766,100.0,100.0,-12.92,11828,0.0,1
2019-02,19009,13.0,0.3454153295807249,228000.0,0.3888124048981958,100.1,101.08,-12.98,13278,1.0,2
2019-03,20232,13.0,0.34761763542902335,228000.0,0.3910467855940761,98.62,100.05,-13.05,14301,2.0,3
2019-04,20640,13.0,0.3424903100775194,228000.0,0.38868958319744307,97.66,99.33,-13.1,14761,3.0,4
2019-05,20824,13.0,0.3468113714944295,230000.0,0.39846322722283206,95.98,99.12,-13.19,14869,4.0,5
2019-06,20520,13.0,0.3419590643274854,229000.0,0.39235465887974513,94.75,98.25,-12.77,14499,5.0,6
2019-07,20173,13.0,0.3389183562187082,230000.0,0.40262641305083596,94.08,98.52,-12.88,14238,6.0,7
2019-08,19803,13.0,0.33828207847295866,230000.0,0.4037405976824558,93.09,98.35,-12.95,14163,7.0,8
2019-09,20087,12.0,0.33046248817643253,232800.0,0.4177070747751376,92.88,99.05,-12.75,14319,8.0,9
2019-10,19936,12.0,0.31992375601926165,233501.0,0.4223156182212581,91.94,98.37,-12.87,14145,9.0,10
2019-11,19479,12.0,0.3149545664561836,233466.0,0.42191587133262637,91.01,98.27,-12.71,13568,10.0,11
2019-12,19215,12.0,0.312464220660942,230000.0,0.40550952173281,90.53,99.05,-12.71,13191,11.0,12
2020-01,17636,13.0,0.36380131549104106,229134.0,0.4029900057817791,102.23,99.28,-12.53,11469,12.0,1
2020-02,18978,13.0,0.36421119190641793,230000.0,0.41265590328257706,101.08,98.82,-12.57,12393,13.0,2
2020-03,19435,13.0,0.35487522510933883,230000.0,0.41075446227688617,100.72,98.85,-12.66,12760,14.0,3
2020-04,18345,13.0,0.34183701281003,225520.5,0.3778936657339099,99.83,97.59,-12.66,15183,15.0,4
2020-05,17262,13.0,0.34283397057119686,228000.0,0.3875269660717788,99.47,96.44,-12.32,14753,16.0,5
2020-06,17271,13.0,0.3307278096230676,225000.0,0.37865081416386664,99.08,96.69,-12.34,14882,17.0,6
2020-07,15604,13.0,0.33497821071520123,226000.0,0.3811366731168924,99.12,97.24,-12.25,13430,18.0,7
2020-08,16418,13.0,0.3444999390912413,229000.0,0.39443568834372644,99.23,98.01,-12.62,14057,19.0,8
2020-09,16441,13.0,0.34474788638160697,229000.0,0.3927843456991439,99.59,98.57,-12.4,14148,20.0,9
2020-10,16646,13.0,0.3344947735191638,228489.0,0.3919871149587276,100.23,98.78,-12.12,14333,21.0,10
2020-11,16356,13.0,0.33528980190755686,230000.0,0.3969033490212127,100.17,99.39,-12.22,14071,22.0,11
2020-12,16380,12.0,0.32722832722832723,229000.0,0.3934314527119106,100.44,100.79,-12.08,14074,23.0,12
2021-01,16087,13.0,0.3997637844222043,228000.0,0.39067524115755625,114.25,99.8,-12.14,13599,24.0,1
2021-02,15005,13.0,0.36261246251249585,223540.0,0.369329122698914,114.96,100.02,-11.77,12483,25.0,2
2021-03,15501,13.0,0.370040642539191,225000.0,0.37147091515376063,114.78,99.81,-11.75,12949,26.0,3
2021-04,15274,13.0,0.3756056042948802,226250.0,0.3879381831888428,114.58,99.42,-11.87,12703,27.0,4
2022-01,14884,14.0,0.458075786079011,237719.0,0.43683941356972383,135.79,108.54,-12.01,11037,28.0,1
2022-02,15705,14.0,0.46049028971665074,239000.0,0.44275244299674266,136.87,109.07,-12.31,11616,29.0,2
2022-03,15935,14.0,0.45729526200188264,238618.5,0.44547936405973987,135.49,109.41,-12.52,11832,30.0,3
2022-04,17247,14.0,0.4502812083260857,238000.0,0.4431602048280907,135.93,109.65,-12.04,12994,31.0,4
2022-05,16643,14.0,0.4468545334374812,238000.0,0.44696682104623797,136.39,110.85,-12.33,12561,32.0,5
2022-06,16079,14.0,0.4530754400149263,239124.0,0.448933343752442,137.14,110.87,-12.26,12137,33.0,6
2022-07,15225,14.0,0.4491954022988506,238346.0,0.4455363091272485,137.44,111.79,-12.52,11338,34.0,7
2022-08,16097,14.0,0.4572280549170653,240000.0,0.45689321889739426,137.93,112.14,-12.11,12196,35.0,8
2022-09,17143,14.0,0.4553462054482879,240000.0,0.4577884335948852,137.59,112.35,-12.02,12976,36.0,9
2022-10,17629,14.0,0.43507856373021725,240000.0,0.4531361115061869,137.11,112.56,-12.39,13250,37.0,10
2022-11,18035,14.0,0.43021901857499306,240000.0,0.4524122655222538,136.67,112.81,-12.33,13634,38.0,11
2022-12,17413,13.0,0.4156664560960202,240000.0,0.45510813369256536,136.5,112.21,-12.24,12983,39.0,12
