tier,fields,frac,captured,auc,within_age
Age alone,1,0.0,0.0,0.6638568712225946,0.5
Age alone,1,0.05,0.13294739491568083,0.6638568712225946,0.5
Age alone,1,0.1,0.24852756103699974,0.6638568712225946,0.5
Age alone,1,0.15,0.3429146740498364,0.6638568712225946,0.5
Age alone,1,0.2,0.42079033475962746,0.6638568712225946,0.5
Age alone,1,0.25,0.4848728920211427,0.6638568712225946,0.5
Age alone,1,0.3,0.5361188019129122,0.6638568712225946,0.5
Age alone,1,0.35,0.5827837905864586,0.6638568712225946,0.5
Age alone,1,0.4,0.6255726151522779,0.6638568712225946,0.5
Age alone,1,0.45,0.6646866347847974,0.6638568712225946,0.5
Age alone,1,0.5,0.7026931789579662,0.6638568712225946,0.5
Age alone,1,0.55,0.7385351120060408,0.6638568712225946,0.5
Age alone,1,0.6,0.7720614145482003,0.6638568712225946,0.5
Age alone,1,0.65,0.8062924742008558,0.6638568712225946,0.5
Age alone,1,0.7,0.833073244399698,0.6638568712225946,0.5
Age alone,1,0.75,0.8623206644852756,0.6638568712225946,0.5
Age alone,1,0.8,0.8901585703498616,0.6638568712225946,0.5
Age alone,1,0.85,0.9180468160080544,0.6638568712225946,0.5
Age alone,1,0.9,0.9463377800151019,0.6638568712225946,0.5
Age alone,1,0.95,0.9727158318650894,0.6638568712225946,0.5
Age alone,1,1.0,1.0,0.6638568712225946,0.5
+ how far it has gone,3,0.0,0.0,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.05,0.17085325950163605,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.1,0.2923735212685628,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.15,0.39078781776994714,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.2,0.4606594512962497,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.25,0.5214699219733199,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.3,0.574125346086081,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.35,0.6221495091870123,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.4,0.6632771205638057,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.45,0.7023911401963252,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.5,0.7405990435439215,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.55,0.7758368990687138,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.6,0.8072992700729927,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.65,0.8379562043795621,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.7,0.8632771205638057,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.75,0.8884470173672288,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.8,0.9122577397432671,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.85,0.9353637050088095,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.9,0.958419330480745,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,0.95,0.979713063176441,0.6977481609144319,0.6178117995827769
+ how far it has gone,3,1.0,1.0,0.6977481609144319,0.6178117995827769
+ what the car is,7,0.0,0.0,0.7088426175479773,0.642996850295496
+ what the car is,7,0.05,0.1872640322174679,0.7088426175479773,0.642996850295496
+ what the car is,7,0.1,0.31980870878429396,0.7088426175479773,0.642996850295496
+ what the car is,7,0.15,0.4120815504656431,0.7088426175479773,0.642996850295496
+ what the car is,7,0.2,0.48326201862572365,0.7088426175479773,0.642996850295496
+ what the car is,7,0.25,0.540750062924742,0.7088426175479773,0.642996850295496
+ what the car is,7,0.3,0.5889252454064938,0.7088426175479773,0.642996850295496
+ what the car is,7,0.35,0.6334759627485528,0.7088426175479773,0.642996850295496
+ what the car is,7,0.4,0.6737477976340297,0.7088426175479773,0.642996850295496
+ what the car is,7,0.45,0.7119053611880192,0.7088426175479773,0.642996850295496
+ what the car is,7,0.5,0.7464887993959225,0.7088426175479773,0.642996850295496
+ what the car is,7,0.55,0.7802668009061163,0.7088426175479773,0.642996850295496
+ what the car is,7,0.6,0.8119808708784294,0.7088426175479773,0.642996850295496
+ what the car is,7,0.65,0.8407248930279386,0.7088426175479773,0.642996850295496
+ what the car is,7,0.7,0.8690158570349862,0.7088426175479773,0.642996850295496
+ what the car is,7,0.75,0.8944374528064435,0.7088426175479773,0.642996850295496
+ what the car is,7,0.8,0.9181978353888749,0.7088426175479773,0.642996850295496
+ what the car is,7,0.85,0.9385854517996476,0.7088426175479773,0.642996850295496
+ what the car is,7,0.9,0.961036999748301,0.7088426175479773,0.642996850295496
+ what the car is,7,0.95,0.9823307324439969,0.7088426175479773,0.642996850295496
+ what the car is,7,1.0,1.0,0.7088426175479773,0.642996850295496
"+ where it is, and how it just did",10,0.0,0.0,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.05,0.19199597281651146,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.1,0.3201610873395419,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.15,0.4135414044802416,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.2,0.4844198338786811,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.25,0.5414548200352378,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.3,0.5904354392146992,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.35,0.6363956707777498,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.4,0.6777246413289706,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.45,0.7159325446765669,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.5,0.7514220991693934,0.7115006735060116,0.6478824768301488
