age_years,reg_year,parc,movers,rate,parc_st,movers_st,rate_st,new_price_eur,age,retained,n_retained,ads,median_eur,group_ads,moving,moving_st,used_eur,value_eur,value_st_eur
1,2025,397744,71802,0.1805231505692103,40054,12471,0.3113546711938882,43418.0,1,0.8262905899539794,800,1649,74900.0,71,71801.99999999999,12470.999999999998,35875.88483462188,2575960282.8955197,447408159.7725694
2,2024,384712,54208,0.1409054045623739,36913,7431,0.2013111911792593,43640.0,2,0.6845748674972184,356,483,99950.0,62,54207.99999999999,7430.999999999998,29874.847217578612,1619455717.9705012,221999989.6738266
3,2023,366257,56595,0.1545226439358155,46841,7932,0.1693388270959202,42200.0,3,0.6160101042118455,256,647,51900.0,48,56594.99999999998,7931.999999999999,25995.62639773988,1471222475.980088,206197308.58687273
4,2022,304160,62462,0.205359021567596,49643,9806,0.1975303668190882,37601.0,4,0.5580275349421557,347,871,45950.0,5,62462.0,9805.999999999996,20982.39334136,1310602252.8880281,205753349.10537606
5,2021,300112,83399,0.2778929199765421,46979,13597,0.2894271908725175,35349.0,5,0.460406816785533,1105,1801,32900.0,9,83399.0,13597.0,16274.920566551807,1357312100.3298542,221290094.9434049
6,2020,305234,80486,0.2636862210631843,54446,15024,0.2759431363185541,32853.0,6,0.44661485682279634,605,1146,34947.0,8,80486.0,15023.999999999996,14672.637891199329,1180941933.3110693,220441711.67737865
7,2019,375015,61996,0.1653160540245057,71759,11560,0.1610947755682214,30899.0,7,0.3960873430953127,330,687,31845.0,29,61996.0,11560.0,12238.702814302067,758750619.675471,141479404.5333319
8,2018,372869,58149,0.1559502130775151,81501,13212,0.1621084403872345,26155.0,8,0.3946284396111386,357,684,28950.0,39,58148.99999999998,13211.999999999998,10321.506838029329,600185301.1245672,136367748.34404346
9,2017,340434,51519,0.1513332980842101,80773,13026,0.1612667599321555,24779.0,9,0.3554021121039805,289,541,23450.0,29,51518.99999999998,13025.999999999996,8806.508935824533,453702533.86474395,114713585.39805034
10,2016,306233,46837,0.1529456329004385,75667,12426,0.1642195408830798,23090.0,10,0.2647833012423248,307,541,21500.0,18,46836.999999999985,12426.0,6113.846425685279,286354225.0398213,75970655.68556528
11,2015,314340,48524,0.1543678819113062,70645,11788,0.1668624814211904,22791.0,11,0.3083106708774675,284,479,16500.0,18,48523.99999999999,11787.999999999996,7026.708499968362,340964003.2524648,82830839.79762703
12,2014,277454,43547,0.1569521434183684,69825,12394,0.17750089509488,20885.0,12,0.3074178493493254,229,359,13750.0,21,43546.99999999999,12393.999999999996,6420.421783660661,279590107.4130708,79574707.58669022
13,2013,287423,45911,0.1597332155046743,65468,11544,0.176330420969023,19935.0,13,0.2752536944895525,132,157,12300.0,7,45911.0,11543.999999999996,5487.182399649229,251922031.15029576,63344033.62155069
14,2012,326617,54061,0.1655180226381358,81201,14774,0.181943572123496,17676.0,14,0.23385055573896776,171,174,7950.0,24,54061.0,14773.999999999998,4133.542423241995,223463436.94288546,61068955.76097722
15,2011,357649,62227,0.1739890227569488,96782,18053,0.1865326197020107,17299.0,15,0.23960895818024983,113,208,7950.0,29,62226.999999999985,18053.0,4144.995367560142,257930626.73716488,74829601.37056324
